S1_S0202,S2_S0202,S3_S0202,S4_S0202,S5_S0202,S6_S0202,S7_S0202,S8_S0202
0.532,1.655,1.216,1.457,1.358,0.198,0.393,0.985
0.533,1.658,1.217,1.46,1.361,0.199,0.393,0.988
0.534,1.661,1.219,1.464,1.365,0.2,0.393,0.991
0.536,1.664,1.221,1.468,1.369,0.2,0.394,0.994
0.537,1.667,1.223,1.471,1.372,0.201,0.394,0.997
0.538,1.67,1.225,1.475,1.376,0.202,0.395,1.0
0.54,1.673,1.226,1.478,1.379,0.203,0.395,1.003
0.541,1.676,1.228,1.482,1.383,0.204,0.395,1.006
0.542,1.679,1.23,1.485,1.386,0.204,0.396,1.008
0.543,1.681,1.232,1.488,1.39,0.205,0.396,1.011
0.545,1.684,1.233,1.491,1.393,0.206,0.397,1.014
0.546,1.686,1.235,1.495,1.396,0.207,0.397,1.017
0.547,1.689,1.237,1.499,1.399,0.207,0.398,1.019
0.549,1.691,1.238,1.501,1.401,0.208,0.398,1.022
0.549,1.693,1.24,1.504,1.404,0.209,0.399,1.024
0.551,1.695,1.242,1.507,1.41,0.21,0.399,1.027
0.554,1.697,1.244,1.51,1.411,0.211,0.399,1.029
0.553,1.699,1.246,1.513,1.414,0.211,0.4,1.032
0.555,1.701,1.247,1.516,1.416,0.212,0.4,1.034
0.554,1.703,1.248,1.518,1.419,0.213,0.401,1.036
0.556,1.704,1.25,1.52,1.424,0.214,0.401,1.038
0.556,1.706,1.252,1.523,1.426,0.214,0.401,1.04
0.561,1.707,1.253,1.526,1.428,0.215,0.402,1.042
0.562,1.709,1.255,1.528,1.431,0.216,0.402,1.044
0.561,1.711,1.257,1.53,1.434,0.217,0.403,1.046
0.563,1.712,1.259,1.533,1.435,0.217,0.403,1.048
0.564,1.714,1.26,1.534,1.438,0.218,0.403,1.05
0.564,1.715,1.262,1.537,1.441,0.219,0.404,1.052
0.566,1.717,1.263,1.538,1.442,0.219,0.404,1.053
0.568,1.718,1.265,1.54,1.444,0.22,0.404,1.054
0.568,1.719,1.267,1.541,1.446,0.221,0.405,1.056
0.569,1.72,1.268,1.542,1.448,0.221,0.405,1.057
0.571,1.722,1.27,1.543,1.45,0.223,0.406,1.059
0.572,1.723,1.271,1.545,1.452,0.223,0.406,1.06
0.573,1.724,1.273,1.545,1.453,0.224,0.407,1.061
0.574,1.726,1.275,1.546,1.455,0.224,0.407,1.062
0.575,1.727,1.277,1.547,1.456,0.225,0.407,1.063
0.576,1.728,1.278,1.547,1.458,0.226,0.408,1.064
0.578,1.729,1.28,1.548,1.458,0.226,0.408,1.065
0.578,1.73,1.281,1.548,1.459,0.228,0.408,1.066
0.58,1.731,1.283,1.548,1.46,0.228,0.409,1.066
0.581,1.732,1.284,1.548,1.461,0.229,0.409,1.067
0.581,1.733,1.286,1.548,1.462,0.229,0.409,1.068
0.583,1.734,1.287,1.547,1.462,0.231,0.41,1.068
0.584,1.735,1.289,1.547,1.462,0.231,0.41,1.069
0.585,1.736,1.29,1.547,1.462,0.231,0.411,1.069
0.587,1.737,1.292,1.546,1.463,0.233,0.411,1.069
0.587,1.737,1.294,1.546,1.463,0.233,0.411,1.07
0.589,1.738,1.295,1.545,1.463,0.234,0.412,1.07
0.59,1.739,1.297,1.544,1.463,0.235,0.412,1.07
0.59,1.74,1.298,1.543,1.463,0.235,0.412,1.07
0.592,1.74,1.299,1.542,1.463,0.235,0.413,1.071
0.593,1.741,1.301,1.542,1.463,0.236,0.413,1.071
0.594,1.742,1.302,1.541,1.463,0.237,0.414,1.071
0.595,1.742,1.304,1.54,1.462,0.237,0.414,1.071
0.596,1.742,1.305,1.539,1.462,0.238,0.414,1.071
0.599,1.747,1.309,1.541,1.464,0.239,0.415,1.073
0.599,1.747,1.31,1.539,1.464,0.24,0.416,1.073
0.601,1.747,1.312,1.538,1.463,0.24,0.416,1.073
0.602,1.747,1.313,1.537,1.463,0.241,0.417,1.073
0.603,1.748,1.315,1.536,1.462,0.241,0.417,1.072
0.604,1.748,1.316,1.534,1.461,0.242,0.417,1.072
0.605,1.748,1.317,1.533,1.461,0.243,0.418,1.072
0.606,1.748,1.319,1.532,1.46,0.243,0.418,1.072
0.607,1.749,1.32,1.531,1.459,0.244,0.418,1.071
0.608,1.748,1.321,1.529,1.458,0.244,0.419,1.071
0.609,1.748,1.323,1.527,1.457,0.245,0.419,1.071
0.61,1.748,1.324,1.526,1.456,0.246,0.419,1.07
0.611,1.747,1.325,1.524,1.455,0.246,0.42,1.07
0.612,1.748,1.326,1.523,1.454,0.247,0.42,1.07
0.613,1.747,1.327,1.521,1.453,0.247,0.42,1.07
0.614,1.747,1.329,1.52,1.452,0.248,0.421,1.069
